Column1,Column2,Column3,Column4,Column5,Column6
racw.206,97101,4019.848,16705.94777,1.150,t
racw.207,97101,4005.581,16705.95374,1.293,t
racw.208,97101,3990.348,16705.96019,1.448,t
racw.209,97101,3973.701,16705.96733,1.620,t
racw.210,97101,3954.400,16705.97576,1.823,t
racx.196,42176,-25291.553,16708.64728,-0.823,t
racx.197,42176,-25339.111,16708.66845,-0.313,t
racx.198,42176,-25387.255,16708.68968,0.198,t
racx.199,42176,-25431.679,16708.70937,0.671,t
racx.200,42176,-25481.968,16708.73213,1.219,t
racx.233,PSNJ0955+6940,-9744.688,16708.85982,0.541,t
racx.234,PSNJ0955+6940,-9760.477,16708.87457,0.895,t
racx.235,PSNJ0955+6940,-9775.265,16708.8886,1.233,t
racy.191,42176,-25686.582,16709.70216,0.566,t
racy.192,42176,-25722.278,16709.71821,0.952,t
racy.193,42176,-25753.781,16709.73268,1.300,t
racy.194,42176,-25791.513,16709.75057,1.731,t
racy.195,42176,-25835.775,16709.77274,2.264,t
racy.256,127334,12358.610,16710.04593,0.528,t
racy.257,127334,12338.752,16710.05609,0.773,t
racy.258,127334,12322.408,16710.06454,0.976,t
racy.259,127334,12307.931,16710.07211,1.158,t
racy.260,127334,12291.733,16710.0807,1.365,t
racz.188,37124,-28247.125,16712.65865,0.299,t
racz.189,37124,-28277.874,16712.67178,0.615,t
racz.190,37124,-28307.747,16712.68468,0.925,t
racz.191,37124,-28337.468,16712.69776,1.240,t
racz.192,37124,-28367.430,16712.71129,1.566,t
racz.193,37124,-28395.692,16712.72448,1.883,t
racz.194,37124,-28426.399,16712.73946,2.243,t
racz.239,95128,-2548.600,16712.88219,0.233,t
racz.240,95128,-2554.382,16712.8848,0.296,t
racz.241,95128,-2559.748,16712.88722,0.354,t
racz.242,95128,-2565.135,16712.88965,0.412,t
racz.243,95128,-2570.539,16712.89209,0.471,t
racz.247,PSNJ0955+6940,-10868.322,16712.91016,2.018,t
racz.248,PSNJ0955+6940,-10881.771,16712.9244,2.361,t
racz.249,PSNJ0955+6940,-10894.837,16712.93887,2.709,t
racz.274,185144,-3789.885,16713.02623,-4.719,t
racz.275,185144,-3790.280,16713.028,-4.677,t
racz.276,185144,-3790.688,16713.02976,-4.634,t
racz.277,185144,-3791.114,16713.03153,-4.592,t
racz.278,185144,-3791.563,16713.03333,-4.548,t
racz.293,141004,26243.870,16713.08533,0.428,t
racz.294,141004,26240.892,16713.08657,0.457,t
rade.192,92179,-12488.611,16731.69245,-2.735,t
rade.214,96712,423.389,16731.86711,0.958,t
rade.215,96712,394.714,16731.87798,1.220,t
rade.216,96712,362.383,16731.89048,1.521,t
radf.183,23439,-26388.794,16732.6389,3.064,t
radf.184,23439,-26401.518,16732.65171,3.372,t
radf.185,23439,-26413.116,16732.66485,3.688,t
radf.186,23439,-26423.342,16732.67825,4.011,t
radf.187,23439,-26431.777,16732.69151,4.330,t
radf.225,122120,10096.803,16732.96283,0.500,t
radf.226,122120,10063.878,16732.9759,0.814,t
radf.227,122120,10030.610,16732.9893,1.137,t
radf.228,122120,9996.745,16733.00325,1.473,t
radf.229,122120,9961.372,16733.01827,1.834,t
radf.236,142091,13003.692,16733.05335,0.865,t
radf.237,142091,12999.295,16733.05549,0.917,t
radf.238,142091,12994.863,16733.05765,0.969,t
radf.239,142091,12989.762,16733.06016,1.029,t
radf.240,142091,12983.976,16733.063,1.097,t
radg.230,141004,21758.208,16736.03832,0.763,t
radg.231,141004,21754.066,16736.03995,0.802,t
radg.232,141004,21750.136,16736.0415,0.839,t
radg.233,141004,21746.273,16736.04303,0.876,t
radg.234,141004,21741.863,16736.04478,0.918,t
radk.204,186427,8385.909,16750.89409,-5.543,t
radk.205,186427,8384.730,16750.90454,-5.292,t
radk.206,186427,8382.796,16750.91401,-5.064,t
radk.207,186427,8379.598,16750.92481,-4.804,t
radk.208,186427,8375.960,16750.93423,-4.577,t
radk.215,186408,8351.997,16750.97042,-3.706,t
radk.216,186408,8345.682,16750.97875,-3.505,t
radk.217,186408,8338.436,16750.98757,-3.293,t
radk.218,186408,8330.108,16750.99697,-3.067,t
radk.219,186408,8321.785,16751.00575,-2.855,t
radl.198,95364,-17752.925,16753.78374,0.546,t
radl.199,95364,-17806.599,16753.80553,1.071,t
radl.200,95364,-17857.397,16753.82684,1.584,t
radl.231,201091,11671.312,16753.98803,-4.466,t
radl.232,201091,11669.126,16753.99252,-4.358,t
radl.233,201091,11667.114,16753.99632,-4.267,t
radl.234,201091,11665.204,16753.99969,-4.186,t
radl.235,201091,11663.250,16754.00294,-4.107,t
radm.109,74156,-26187.443,16754.68844,0.675,t
radm.110,74156,-26238.513,16754.70917,1.174,t
radm.111,74156,-26290.292,16754.73102,1.699,t
radm.112,74156,-26336.986,16754.75189,2.202,t
radm.113,74156,-26379.645,16754.77248,2.697,t
radm.114,74156,-26418.393,16754.79313,3.194,t
radm.115,74156,-26456.246,16754.81623,3.750,t
radm.135,190360,17870.404,16754.92783,-4.822,t
radm.136,190360,17867.411,16754.93378,-4.679,t
radm.137,190360,17863.901,16754.93988,-4.532,t
radm.138,190360,17859.976,16754.94595,-4.386,t
radm.139,190360,17855.691,16754.95192,-4.242,t
radm.140,126053,8092.545,16754.96709,1.627,t
radm.141,126053,8067.995,16754.97662,1.856,t
radm.142,126053,8041.577,16754.98717,2.110,t
radm.143,126053,8014.992,16754.99814,2.374,t
radm.144,126053,7989.221,16755.00921,2.641,t
radn.210,109358,-11862.797,16757.83819,0.588,t
radn.211,109358,-11867.820,16757.84063,0.646,t
radn.212,109358,-11872.785,16757.84305,0.705,t
radn.213,109358,-11877.809,16757.8455,0.764,t
radn.214,109358,-11882.631,16757.84786,0.820,t
radp.202,110315,-9639.654,16761.80878,-0.015,t
radp.203,110315,-9675.282,16761.82198,0.303,t
radp.204,110315,-9709.577,16761.83476,0.611,t
radp.221,143761,7365.025,16761.93175,-0.342,t
radp.222,143761,7346.923,16761.93986,-0.147,t
radp.223,143761,7329.563,16761.94763,0.040,t
