Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
HIP 61706   ,3463, 60, 0.466, 0.025, 4.77, 0.06, 0.26, 0.08, 0.47, 0.05, 9.64, 0.53, 65.0,11.5,"D,2",  1,Gaia,2M,Simbad,189.71850,+11.69616
HIP 65016   ,3650, 60, 0.598, 0.025, 4.66, 0.05, 0.40, 0.08, 0.60, 0.06, 9.87, 0.50, 58.9,10.6,"D,1",  1,Gaia,2M,Simbad,199.91719,+33.34653
HIP 71253   ,3211, 60, 0.310, 0.013, 4.89, 0.05, 0.17, 0.08, 0.27, 0.03, 9.89, 0.49,159.1,11.3,"D,1",  1,Gaia,2M,Simbad,218.57005,-12.51955
HIP 8051    ,3458, 60, 0.414, 0.017, 4.81, 0.05,-0.13, 0.08, 0.40, 0.04, 9.76, 0.51, 89.2,10.9,"D,1",  1,Gaia,2M,Simbad,025.83408,+04.32166
HIP 91699   ,3400, 61, 0.394, 0.019, 4.81, 0.05,-0.16, 0.08, 0.37, 0.04, 9.75, 0.51, 92.8,11.3,"D,1",  1,Gaia,2M,Simbad,280.49598,+31.83049
HD 101501   ,5309, 27, 0.940, 0.010, 4.42, 0.02,-0.03, 0.10, 0.84, 0.03,10.14, 0.05,104.8, 5.3,"E,2",  1,Gaia,2M,Simbad,175.26257,+34.20163
HD 10476    ,5242, 12, 0.810, 0.004, 4.57, 0.02,-0.02, 0.10, 0.88, 0.04, 9.51, 0.42,133.9, 5.2,"E,2",  1,Gaia,2M,Simbad,025.62401,+20.26850
HD 10697    ,5442, 65, 1.915, 0.052, 3.91, 0.05, 0.12, 0.10, 1.09, 0.10, 9.92, 0.12, 30.7, 6.3,"E,2",  1,Gaia,2M,Simbad,026.23260,+20.08315
HD 10700    ,5290, 39, 0.815, 0.012, 4.50, 0.03,-0.48, 0.10, 0.76, 0.04,10.09, 0.16,274.2, 3.5,"E,2",  1,Gaia,2M,Simbad,026.01701,-15.93748
HD 107383   ,4705, 24,15.781, 0.344, 2.15, 0.04,-0.30, 0.10, 1.29, 0.10, 9.56, 0.09,  9.0, 4.7,"E,2",  0,Gaia,2M,Simbad,185.17928,+17.79287
HD 10780    ,5398, 75, 0.819, 0.024, 4.56, 0.03, 0.03, 0.10, 0.90, 0.04, 9.36, 0.39,100.2, 5.6,"E,2",  1,Gaia,2M,Simbad,026.93681,+63.85250
HD 115617   ,5538, 13, 0.987, 0.005, 4.41, 0.02, 0.01, 0.10, 0.92, 0.04, 9.97, 0.07,117.3, 4.7,"E,2",  1,Gaia,2M,Simbad,199.60131,-18.31120
HD 117176   ,5406, 64, 1.968, 0.047, 3.84, 0.05,-0.06, 0.10, 0.97, 0.10,10.02, 0.13, 54.7, 5.0,"E,1",  1,Gaia,2M,Simbad,202.10754,+13.77879
HD 11964A   ,5013, 62, 2.143, 0.069, 3.77, 0.05, 0.14, 0.10, 0.99, 0.07,10.09, 0.10, 29.4, 6.4,"E,2",  1,Gaia,2M,Simbad,029.29003,-10.24243
HD 119850   ,3618, 31, 0.484, 0.008, 4.78, 0.02,-0.30, 0.10, 0.50, 0.02, 9.84, 0.49,184.1, 8.5,"E,2",  1,Gaia,2M,Simbad,206.43240,+14.89152
HD 120136   ,6620, 67, 1.331, 0.027, 4.30, 0.02, 0.24, 0.10, 1.31, 0.03, 9.07, 0.11, 64.1, 4.5,"E,2",  0,Gaia,2M,Simbad,206.81560,+17.45690
HD 126660   ,6211, 19, 1.734, 0.011, 4.08, 0.02,-0.02, 0.10, 1.31, 0.05, 9.53, 0.06, 68.6, 4.0,"E,2",  0,Gaia,2M,Simbad,216.29915,+51.85074
HD 130948   ,5787, 57, 1.112, 0.023, 4.35, 0.04,-0.05, 0.10, 0.99, 0.05, 9.86, 0.13, 55.7, 5.9,"E,2",  1,Gaia,2M,Simbad,222.56588,+23.91184
HD 131156   ,5483, 32, 0.863, 0.011, 4.53, 0.03,-0.14, 0.10, 0.91, 0.05, 9.62, 0.40,149.3, 4.6,"E,2",  1,Gaia,2M,Simbad,222.84742,+19.10047
HD 1326     ,3567, 11, 0.386, 0.002, 4.87, 0.01,-0.36, 0.10, 0.40, 0.01, 9.66, 0.52,280.7, 8.1,"E,1",  1,Gaia,2M,Simbad,004.59536,+44.02296
HD 136202   ,5661, 87, 2.143, 0.067, 3.83, 0.06,-0.04, 0.10, 1.11, 0.13, 9.82, 0.16, 40.5, 5.1,"E,2",  1,Gaia,2M,Simbad,229.82832,+01.76541
HD 143761   ,5627, 54, 1.362, 0.026, 4.15, 0.03,-0.22, 0.10, 0.96, 0.06, 9.96, 0.10, 57.4, 5.4,"E,2",  1,Gaia,2M,Simbad,240.26109,+33.30351
